Название вакансии,URL,Название компании,Описание
Инженер по тестированию (ручное),https://samara.hh.ru/vacancy/27615743?query=python, Plazius,"Работа с дефектами - поиск, анализ, регистрация, воспроизведение, проверка исправлений. Подготовка тестовых конфигураций и поддержание их в актуальном состоянии.  Базовые знания по теории тестирования. Тестирование на python. Знание на уровне уверенного пользователя OS Windows, Linux. Знание одного или нескольких..."
DevOps инженер,https://samara.hh.ru/vacancy/26817514?query=python,ООО Актион Технологии,"Выработаем единый workflow для разработки. Автоматизируем все ручные шаги, которые должен проходить разработчик. Покроем тестами максимум кода. Дадим возможность разработчикам... Хорошее знание современных Unix-систем. Умение автоматизировать свою деятельность на python/ruby/shell. Знание инструментов\технологий автоматизации (Jira, Jenkins, Bitbucket..."
IT- аудитор,https://samara.hh.ru/vacancy/29904515?query=python,АО Национальная система платежных карт,"Проведение аудитов по процессам управления ИТ и ИБ. Анализ технических решений в области ИТ и ИБ с точки зрения наличия... Опыт использования SQL, R. Знание скриптовых языков (Shell, Bash, Perl), Python (как преимущество). Опыт использования Linux (RedHat\CentOS). "
Системный администратор Linux,https://samara.hh.ru/vacancy/24055759?query=python, Group-IB,"Администрирование серверов базе ubuntu server (Xenial). Работа с микросервиcами (docker, consul, consul-template and logstash). Поддержка работа существующих lxc-гипервизоров. Опыт работы с СУБД PostgreSQL, MySQL (администрирование, репликация, бэкапы). Знание скриптовых языков программирования (bash, python, ruby и т.п.) на..."
Ведущий специалист по мониторингу и реагированию на инциденты информационной безопасности,https://samara.hh.ru/vacancy/29189291?query=python, Московский Кредитный Банк,"Администрирование технических средств SOC. Мониторинг и анализ событий информационной безопасности, реагирование на инциденты, расследование инцидентов, устранение последствий атак.  Опыт написания скриптов на одном и более языках: Python, Bash, PowerShell. Знание способов, техник и процедур, используемых на разных стадиях..."
"Инженер по внедрениям (Системный инженер, архитектор)",https://samara.hh.ru/vacancy/27618822?query=python,ООО ВижнЛабс (VisionLabs),"Привет! В рамках наших проектов по внедрению, мы расширяем команду инженеров. Ключевой задачей, будет развёртывание, запуск и интеграция наших решений... ...нуля, опыт кластеризации, развёртывания PostgreSQL, один из скриптовых языков (bash/python/ruby) на хорошем уровне. - Обязателен опыт внедрения и развёртывания..."
Администратор баз данных,https://samara.hh.ru/vacancy/29899109?query=python, Selecty,"Установка и администрирование информационных систем на базе продуктов MS SQL. Развертывание и поддержка систем VMWare. Мониторинг производительности, профилирование, диагностика и... Знания в настройке и поддержке SQL Server 2012+. Опыт программирования на скриптовых языках (Shell, Python, PowerShell). Опыт администрирования VMWare. "
Инженер DevOps,https://samara.hh.ru/vacancy/27265017?query=python," ЗЕНИТ, банк","Поддерживать разработчиков в процессе CI/CD на основе GitLab и Jenkins. Строить мониторинг всей системы. Развивать серверную инфраструктуру.  Linux, RHEL / CentOS. Git и Shell. Gitlab и Jenkins. MYSQL или PostgreSQL."
Python разработчик,https://samara.hh.ru/vacancy/29706217?query=python, OneTwoTrip,"Продумывание архитектуры python-приложений и воплощение в коде. Разработка, поддержка и мониторинг сервисов, связанных с отправками email/push сообщений. Работали с python-сервисами от 2х лет в коммерческом проекте и отлично знаете язык. Работали с RDBMS, например PostgreSQL. "
Разработчик хранилищ данных (Hadoop) и ETL,https://samara.hh.ru/vacancy/28983913?query=python, Сбербанк для экспертов,"Полный цикл разработки всех слоев хранилища данных и отображения отчетности. Участие в составление плана проекта, оценка проектных сроков и рисков.  У меня есть опыт разработки на Java, Python или Skala. Я умею программировать на Spark витрины данных (ETL-процессы, обвязки..."
Data Engineer,https://samara.hh.ru/vacancy/29858382?query=python," Норильский никель, ГМК","Анализ бизнес потребностей и декомпозиция предполагаемых направлений, требующих проработки. Подготовка имеющихся данных и данных, доступных для получения и создание новых... Знание одной или нескольких профессиональных систем/языков: обязательные - SQL, NoSQL, Java Script, Java, дополнительные - R, Scala, KNime, Matlab, RapidMiner. "
QA Automation Engineer Java,https://samara.hh.ru/vacancy/24647366?query=python,ООО Gett Russia,"Participate in developing services for the global Gett product as part of the QA team. Work closely with developers, QA... 2+ year experience in JAVA or Python. Hands on experience with Maven, Selenium, TestNG or similar tools. "
Аналитик проекта в Плюс,https://samara.hh.ru/vacancy/29896997?query=python, Яндекс,"Готовы отвечать за результаты экспериментов, полученные с помощью ваших расчетов. ...собеседовании мы предложим вам написать работающий код, а в работе вам пригодится знание языка Python и фреймворков NumPy и Pandas."
Разработчик под Алексу и Алису,https://samara.hh.ru/vacancy/29881312?query=python,ООО МОСИГРА, 
Разработчик Python (PyQt),https://samara.hh.ru/vacancy/28127960?query=python, АйТи,Создание кросс-платформенных сетевых приложений на Python 3 с реализацией GUI на базе PyQt5. Проработка специализированных скриптов на Python.  
Разработчик ORACLE (PL/SQL),https://samara.hh.ru/vacancy/29866961?query=python, Группа компаний «БПЦ»,"Участие в разработке, внедрении и сопровождении программных продуктов Компании. Выполнение доработок по предоставленным спецификациям, анализ и устранение ошибок.  Опыт разработки скриптов под *NIX / программ на Python / Java является плюсом. Опыт работы в банках / IT компаниях (разработка программного обеспечения). "
Embedded-разработчик системы менеджмента СХД,https://samara.hh.ru/vacancy/29880401?query=python,ООО КНС ГРУПП,"Навыки настройки среды разработки и системы сборки с кросс компиляцией в OS Linux с использованием GCC. Внутренняя программа поддержки инноваций. ...для работы с документаций и ведения переписки. Умение написания приложений под OS Linux. Знание высокоуровневых языков программирования (Python, Go, C#)."
QА Engineer,https://samara.hh.ru/vacancy/29871197?query=python, АДВ,"Тестирование приложений и API, разрабатываемых компанией. Составление сценариев тестирования. Регистрация и учет дефектов. Участие в приемке результатов разработки внешних подрядчиков. Понимание верстки (HTML/CSS). Знание SQL. Знания Java или Python на уровне написания скриптов тестирования. Опыт работы c Selenium WebDriver."
Application Security Specialist (engineer),https://samara.hh.ru/vacancy/29889849?query=python, Ingram Micro,"Performing application vulnerability and security assessments. Performing application security risk assessments. Performing code review across a variety of programming languages.  Application security experience with high level programming languages (e.g., Python, .NET, Java). Experience leading software development projects. "
Менеджер отдела бюджетирования и аналитики,https://samara.hh.ru/vacancy/28857058?query=python, Пятерочка. Офис,"Участие в подготовке бюджета расходов на персонал (проверка и анализ данных, подготовка аналитических и презентационных материалов, запрос и анализ расшифровок... ...Cognos, Qlik Sence / Tableau (или аналогичных). Высокий уровень владения MS Office (Excel, PowerPoint). Аналитические навыки. Преимущество - знание R / Python, VBA."
"Senior Analyst (Python, SQL)",https://samara.hh.ru/vacancy/29204464?query=python, Nielsen,"Drive development of new analytical and technical solutions of Analytics & Consulting Department. Support new and existing technical solutions of Analytics... Solid knowledge of SQL, FoxPro, Oracle. Experienced user of Python, R, knowledge of other languages as advantage. English verbal and..."
Специалист Devops,https://samara.hh.ru/vacancy/29869798?query=python, Банк Хоум Кредит,"Проекты : Есть опыт автоматизации развертывания виртуальных серверов, приложений, БД, окружений под задачи разработки и тестирования. Обязанности: - Автоматизация процессов сборки и... Опыт эксплуатации одной из систем управления конфигурациями на базе: ansible, puppet, chef. Уверенные знания python/bash/yaml/perl/ruby. "
С++ Developer (Highload in-memory db),https://samara.hh.ru/vacancy/29607407?query=python,ООО Ростелеком Информационные Технологии,"Участие в разработке С++ части бэкэнда – highload in-memory database. Знание высокоуровневых языков программирования, таких как, golang или python. Опыт использования cmake. Применение на практике фреймворков gtest и gbenchmark. "
Эксперт по информационной безопасности (Безопасность ИТ инфраструктуры),https://samara.hh.ru/vacancy/29889378?query=python, Сибур,"...информации, SIEM систем, сканеров уязвимостей. Вы хорошо знакомы с ArcSight. Знаете один из языков программирования (С, С++, С#, JAVA, Python). Знания основных технологий обеспечения информационной безопасности (FW, VPN, IDS/IPS, AAA, AV, PKI). Практического опыта работы с оборудованием и продуктами..."
Инженер по поддержке приложений (remote),https://samara.hh.ru/vacancy/29878599?query=python, Северсталь. Управляющая компания,"Автоматизировать операции с помощью Python или bash. Писать простые запросы на SQL (выборка, фильтрация, сортировка). Необходимое техническое оборудование. Пожелания к опыту: Опыт работ в аналогичной роли более 1 года. Платформа: Linux на уровне уверенного пользователя; знания на уровне..."
Аналитик ценообразования,https://samara.hh.ru/vacancy/29083275?query=python, OZON.ru интернет-витрина,"Создание и поддержка постоянной отчетности различных коммерческих показателей. Контроллинг выполнения стратегии ценообразования. Расчет эффективности проведенных промо-активностей. Ad-hoc аналитические... Excel Advanced (что-то больше, чем vlookup) - обязательно. SQL - обязательно. Python или R - опционально, но очень желательно. Power Point - опционально."
Linux администратор,https://samara.hh.ru/vacancy/26487266?query=python, Group-IB,"Общее администрирование парка Linux серверов (deb). Взаимодействие с командой разработчиков. Опыт работы с СУБД MySQL/PostgreSQL (администрирование, репликация, резервное копирование). Знание скриптовых языков (bash, python и т.п.) на уровне..."
Администратор Hadoop,https://samara.hh.ru/vacancy/29880631?query=python, Kelly Services,"Сопровождение, развитие, эксплуатация кластеров HADOOP. Внедрение нового прикладного ПО, обновление версий ПО. Реализация изменений в ИТ-инфраструктуре. Участие в проектах... Опыт работы с Hadoop стеком и другими решениями BigData, vertica. Навыки написания скриптов: Python, Java, Scala, Bash, Perl. "
IT Recruiter,https://samara.hh.ru/vacancy/29311404?query=python, Competentum,"Поиск кандидатов на открытые технические вакансии. Участие и организация мероприятий, направленных на продвижение HR бренда. Активная работа с нанимающими менеджерами. У вас хороший разговорный английский - отлично, сможете активно использовать его в работе с нашими иностранными коллегами. Опыт работы внутренним HR..."
Администратор по информационной безопасности,https://samara.hh.ru/vacancy/29218241?query=python, Новые Облачные Технологии,"Внедрение, настройка и администрирование программных, программно-аппаратных средств защиты информации. Участие в пилотных проектах по внедрению продуктов, разрабатываемых компаний, в... Опыт написания скриптов автоматизации - например bash, python. Опыт работы с несколькими решениями классов IPS, WAF, DLP, SIEM, Anti-DDoS. "
Администратор Linux Unix,https://samara.hh.ru/vacancy/29868889?query=python, Банк Хоум Кредит,"Основные задачи: Обеспечение отказоустойчивой и бесперебойной работы серверного оборудования с ОС Linux\UNIX. Эксплуатация и развитие системы управления конфигурациями; автоматизация... Опыт эксплуатации одной из систем управления конфигурациями на базе: ansible, puppet, chef; опыт написания скриптов (будет плюсом знания python/yaml..."
QA TeamLead,https://samara.hh.ru/vacancy/28302783?query=python,ООО Обоз,"Разработка и внедрение стратегии управления качеством. Разработка тестовых стратегии, требований к бизнес-тестам, выбор эффективных методов исполнения, контроль выполнения тестов... Понимание специфики backend на основе REST и микросервисов. Понимание специфики баз данных (PostgreSQL, Elastic, Mongo DB). Понимание специфики frontend (мобильные..."
Менеджер по обработке видео/Видеоинженер,https://samara.hh.ru/vacancy/29786036?query=python,ООО Иви.ру,"Подготовка видео для последующего интернет-вещания. Кодирование в установленный формат. Работа со звуком - нормализация, компрессия, удаление шумов и т.п..  Знание Ffmpeg, bash. Уверенное знание монтажных программ – Adobe Premiere или аналогов. Базовое знание python, умение писать скрипты. Как плюс - знание..."
Ведущий Инженер по автоматизации тестирования,https://samara.hh.ru/vacancy/29871629?query=python,ООО Солар Секьюрити,"Определение стратегии развития автоматизации тестирования. Руководство инженерами по автоматизации тестирования: распределение заданий, контроль качества кода, контроль разработки авто-тестов.  Знания автоматизации тестирования: подходы, терминология, методологии, фреймворки и инструменты. Знание языка Python или Java/Scala, опыт разработки или автоматизации тестирования. "
Программист-аналитик,https://samara.hh.ru/vacancy/29378115?query=python,ООО Лэндинг Солюшн Групп,Участие в процессе разработки в качестве системного аналитика: Приёмка бизнес-требований на предмет возможности их реализации. Декомпозиция бизнес-требований до... Знание SQL обязательно. Будет плюсом опыт написания хранимых процедур для СУБД PostgreSQL. Владение Python или Ruby на уровне не ниже...
Главный инженер (сопровождению ЛВС),https://samara.hh.ru/vacancy/29896077?query=python, Сбербанк для экспертов,"Обеспечение работы по сопровождению ЛВС филиалов и административных зданий Сбербанка, расположенных в территориях (не Москва). Инцидент менеджмент, выстраивание и документирование... Опыт и знания работы в Unix системах приветствуется. Знания в области программирования на языке Python приветствуется. Опыт аналитической и проектной..."
Начальник отдела риск-технологий,https://samara.hh.ru/vacancy/28707157?query=python, Быстроденьги,"Администрирование системы принятия решения SAS RTDM (кодинг и организация тестирования изменений во всех контурах), ведение и поддержка внутренних смежных интеграционных... Опыт работы с SAS (Base, Enterprise Guide, Enterprise Miner, Visual Analytics). Знание С++ / Java / Python / C#. Знание основ риск-менеджмента. "
Руководитель отдела DevOps,https://samara.hh.ru/vacancy/29286261?query=python, НИИ «Восход»,"Руководство командой системных администраторов и системных инженеров для решения задач поддержки эксплуатации информационных системы. Проектирование ЦОД в части подбора оборудования... Опыт написания скриптов для автоматизации задач администрирования с использованием bash, Perl, Python. Знания об основных компонентах компьютеров и серверов, их..."
Аналитик Финансового управления,https://samara.hh.ru/vacancy/29652714?query=python," CiV Life, Strakhovaya Kompaniya","Анализ страховой деятельности Компании. Участие в подготовке бюджета, стратегии Компании. Построение финансовых моделей. Планирование потоков денежных средств. Участие в процессе... Навыки программирования VBA, C++, Python. Английским язык: upper-intermediate и выше. Знание теории бухгалтерского учета и финансовых инструментов (облигации, производные..."
Product Manager (Big Data продукты для маркетинга),https://samara.hh.ru/vacancy/29875187?query=python, Double Data,"Реализация продукта со стадии расплывчатой идеи до четко спланированной реализации, масштабирования и последующей поддержки. Координация работы участников процесса создания продукта... Навыки работы в Tableau и прочих BI-инструментах. Опыт работы с Jira, Confluence. Свободный английский. Знание SQL, Python."
Специалист телекоммуникаций,https://samara.hh.ru/vacancy/28962455?query=python, Capital Group,"Администрирование и поддержка. Сетевой физической и виртуальной инфраструктуры в холдинге и его филиалах. Сетевых экранов Cisco, CheckPoin, L2/L... Опыт работы с Cisco ISE, ACS. Приветствуется опыт работы с UNIX и знание Python. Ответственность. Коммуникативные навыки. Стремление развиваться и..."
Ведущий инженер по тестированию,https://samara.hh.ru/vacancy/29671139?query=python,ООО АВТОПАСС,"Функциональное и регрессионное тестирование web/mobile приложений. Разработка тест-планов. Ведение дефектов от обнаружения до исправления. ...PHP Injection, XSS и тд. Опыт работы с CI/CD (jenkins/teamcity). Владение любым из языков: python/php/ruby/go."
Ведущий инженер по нагрузкам и аэроупругости,https://samara.hh.ru/vacancy/29327096?query=python,ООО ВР-Технологии,Проведение статического и динамического аэроупругого анализа с помощью аналитических и численных методов. Проведение динамического анализа на прочность и устойчивость конструкции.  Опыт в численном моделировании задач гидрогазодинамики (CFD Ansys Fluent/CFX). Знание и опыт работы с ЯП Python является преимуществом.
Mobile QA Automation (eSports),https://samara.hh.ru/vacancy/29556982?query=python,ПАО МТС,"Развернуть совместно с нашими DevOps инфраструктуру авто-тестирования мобильных проектов (iOS+Android). Участвовать в разработке тестовой модели. Разрабатывать BDD сценарии и... Опыт автоматизированного тестирования на базе java/python + Appium от года. Опыт работы с системами CI (Jenkins, Teamcity). "
Аналитик данных,https://samara.hh.ru/vacancy/29400856?query=python, Cитуационный центр Департамента здравоохранения города Москвы,"Подготовка оперативной отчетности. Системный анализ. Подготовка материала для создания презентации по проекту. Автоматизация обработки всевозможных отчетов. Разработка и ведение проекта... Знания Excel на уровне продвинутого пользователя (ВПР, Индекс, сложные формулы, свободное написание макросов). Знание Python, библиотек концепции анализа данных будет..."
R&D Engineer (разработчик-исследователь),https://samara.hh.ru/vacancy/23811199?query=python, Актив,"Исследовать существующие решения в области компьютерной безопасности. Придумывать, проектировать и реализовать на уровне Proof of Concept программные и программно-аппаратные... Опыт программирования хотя бы на одном из языков программирования: Assembler, С, С++, Python, Java, Objective-C, JavaScript. Опыт работы с..."
С++ Developer,https://samara.hh.ru/vacancy/29877551?query=python, Luxoft,"Обязанности: Написание кода на C++. Написание скриптов на Python / Bash / PowerShell. Портирование кода с Windows на Linux. SL3-поддержка... Обязательные Навыки: Отличное знание языка C++ (v11 или выше). Уверенное владение Git / SVN. Уверенное владение Linux (console only!), написание..."
Backend-разработчик (python) на проект ТОП-100,https://samara.hh.ru/vacancy/29757317?query=python, Rambler Group,Разработкой API для веб-приложений с большой посещаемостью. Оптимизацией производительности приложений. Анализом и улучшением архитектуры кода. Поддержкой общепринятых практик контроля... Уверенное знание основных алгоритмов и структур данных. Опыт программирования на Python. Опыт работы с одним из синхронных (Flask/Django) и...
Web-аналитик,https://samara.hh.ru/vacancy/29644611?query=python,ООО Джой Колс Групп,"Любой проект начинается с аудита и сведения сквозной аналитики от денег на рекламу до денег на счету нашего клиента. —  Работать в Яндекс.Метрике и Google.Analytics. Ты должен уметь составить отчёт, перевести цифры веб-аналитики на язык клиента. Умение работать с..."
Разработчик в сфере компьютерного зрения,https://samara.hh.ru/vacancy/29120982?query=python, Samsung Research Center,"Разработка алгоритма для обнаружения и распознавания дефектов оптических деталей. Опыт работы с существующими библиотеками компьютерного зрения, в частности OpenCV. Умение программировать на Python. Желателен опыт работы в средах глубокого..."
Аналитик SQL,https://samara.hh.ru/vacancy/29868857?query=python, Тинькофф,"Работа с командой онлайн-привлечения. Оптимизация отчетности по эффективности онлайн-привлечения. Поддержка и оптимизация рекламных витрин данных. Автоматизация рекламных процессов. Понимание принципов работы REST, SOAP. Знание базовых библиотек Python. Опыт работы с SAS, Tableau, Zeppelin. Знание Excel и опыт работы..."
Специалист по проведению тестов на проникновение (пентестов),https://samara.hh.ru/vacancy/29878929?query=python,ООО НТЦ Вулкан,"Анализ защищенности веб-приложений. Анализ защищенности сетевой инфраструктуры. Анализ защищенности мобильных приложений. Социальная инженерия. Нагрузочное тестирование. Анализ защищенности беспроводных сетей. Опыт разработки на скриптовом языке (bash, python, powershel, php, ...). Опыт работы в Unix-подобных ОС. Знание английского не ниже уровня..."
Аналитик по целевому маркетингу,https://samara.hh.ru/vacancy/27725006?query=python, Пятерочка. Офис,"Долгосрочное и краткосрочное планирование акций лояльности в рамках стратегии ТС5. Подготовка и запуск целевых активностей / активности лояльности для дивизиона... Обязательно: Базовое владение SQL запросами (на уровне селектов). Желательно: знание ПО: SAS Enterprise Miner, Python,R SPSS modeler."
Руководитель направления отдела моделирования кредитного риска,https://samara.hh.ru/vacancy/29901571?query=python, Банк «Открытие»,"Разработка концепций моделей кредитного риска. Подготовка, поиск и валидация данных. Вычислительная реализация моделей и их отладка. Тестирование моделей и их... ...в программном коде. Понимание методов машинного обучения. Свободное использование методов работы с реляционными БД. MS SQL; Python, R + библиотеки."
DevSecOps,https://samara.hh.ru/vacancy/28474435?query=python, Тинькофф,"Активное участие в процессе безопасной разработки приложений (SDLC). Интеграция существующих инструментов продуктовой безопасности в CI/CD пайплайн. Создание и интеграция... Навыки разработки на одном из интерпретируемых языков, таких как: Python, Ruby, Bash. Понимание идеи и опыт работы с REST API. "
Разработчик-аналитик,https://samara.hh.ru/vacancy/29044636?query=python,ООО Лэндинг Солюшн Групп,"Участие в разработке автоматизированной системы принятия решений (АСПР). Поддержка и мониторинг работоспособности АСПР и связанных с ней модулей.  Следующие навыки рассматриваются как преимущество: Опыт работы с интерпретируемыми языками (Python, Matlab, Wolfram Mathematica и т.п.). Опыт работы с..."
ИТ-архитектор,https://samara.hh.ru/vacancy/29362858?query=python, ProfiStaff,"Создание инновационного ИТ решения (Start Up) на базе созданных кусков прототипа (части решения написаны разными командами разработки, осознанно не собраны... Глубокое понимание процесса разработки продукта: умение писать свой код, проводить code review сотрудников. Знание: Python, Java, .NET. Желание работать в..."
Senior Developer С/С++,https://samara.hh.ru/vacancy/17330937?query=python, Актив,"Улучшать, использовать и даже поддерживать открытые проекты OpenSC, OpenSSL и другие. Разрабатывать то, что завтра будут использовать наши клиенты.  ...работе операционных систем и USB-устройств. Обладаете навыками отладки на уровне USB-шины. Знакомы с Java, Objective-C, Python, C#."
Риггер,https://samara.hh.ru/vacancy/29478744?query=python, Киностудия Союзмультфильм ФГУП ТПО,"Создание рига для персонажей, объектов (Autodesk Maya). Подготовка и настройка анимационных ассетов. Разработка решений, нацеленных на устранение возможных проблем, связанных... Понимание строения тела человека и животных. Уверенный пользователь Autodesk Maya. Умение написания скриптов и инструментов под Maya для повышения эффективности..."
Разработчик автоматизированных тестов,https://samara.hh.ru/vacancy/28123368?query=python, Актив,"Разработка автоматизированных тестов продуктов (прошивки устройств, драйверы, сопутствующее ПО, утилиты, плагин для web-браузеров) и тестовых утилит на C++, Python... Знание основных процессов разработки и тестирования. Опыт программирования на C++, Python, JavaScript, C# (не обязательно все из списка). "
​​​​​​​CRM Segmentation Manager/менеджер по CRM аналитике и сегментации,https://samara.hh.ru/vacancy/28763295?query=python,ООО МОНЭКС ТРЕЙДИНГ. Офис,"To manage analytical CRM in Company's Central Marketing Department to maximize positive impact on revenue: In-depth CRM campaign... The candidate should perfectly know Excel. Knowledge of SQL, R, Python is desirable. Knowledge of statistics and Data Mining models..."
Neural Nets Compiler Engineer,https://samara.hh.ru/vacancy/29878593?query=python,ООО Cadence Design Systems,"Get in on the ground floor of new efforts to develop programming models for Artificial Intelligence and Machine Learning algorithms.  Expertise in software development, test, debug and release required. Great C++ is a must, Python mandatory, but less pressing. "
Менеджер по CRM аналитике и сегментации,https://samara.hh.ru/vacancy/29852876?query=python,ООО МОНЭКС ТРЕЙДИНГ. Офис,"Точный анализ CRM акций (пре-анализ, пост-анализ), определение ключевых факторов успешности кампании. Сегментация и кластеризация базы клиентов.  Необходимо отличное знание Excel, желательно - SQL, R, Python. Крайне желательно знание технологий машинного обучения, библиотек TensorFlow или подобных. "
DWH_Главный инженер по разработке,https://samara.hh.ru/vacancy/29020192?query=python, Сбербанк для экспертов,"Выявление торговых возможностей на основании real-time market data и текущих сделок по всем продуктам, торгуемых в периметре Глобальных рынков... Высшее образование. Опыт работы с хранилищами данных и перечисленными ниже платформами– от 3-х лет. Английский – не ниже Intermediate (письменный..."
DWH_Главный инженер по разработке,https://samara.hh.ru/vacancy/29020196?query=python, Сбербанк для экспертов,"Выявление торговых возможностей на основании real-time market data и текущих сделок по всем продуктам, торгуемых в периметре Глобальных рынков... Высшее образование. Опыт работы с хранилищами данных и перечисленными ниже платформами– от 3-х лет. Английский – не ниже Intermediate (письменный..."
Аналитик,https://samara.hh.ru/vacancy/29782782?query=python, ЛитРес,"Анализ аудитории и поведения пользователей. Кластерный анализ аудитории. Анализ и интерпретация продуктовых метрик, AB-тестов. Оценка эффективности продуктовых нововведений.  Отличное знание MySQL. Опыт работы с Яндекс Метрикой, GA. Доп. плюс – опыт работы на Python. Доп. плюс – опыт работы с..."
Разработчик Go / Python (Юнит Monitoring),https://samara.hh.ru/vacancy/29794965?query=python, Авито,"Работа с передовыми технологиями хранения, визуализации и анализа данных. Понимаете, как работает HTTP. Уверенно пишете на SQL и умеете оптимизировать запросы и схемы. Понимаете, что такое ООП, и умеете..."
DevOps специалист (R&D),https://samara.hh.ru/vacancy/29476108?query=python,ООО СПОРТТЕХКОНСАЛТ,"Развертывание и сопровождение проектов и приложений, взаимодействие с отделами тестирования и разработки. Участие в разработке документации к внедряемым системам и... Опыт использования технологий виртуализации VMWare ESXi, Docker. Знание Bash & Python. Знания сетевых сервисов и протоколов (TCP/IP, DNS, DHCP, и..."
Junior разработчик Python,https://samara.hh.ru/vacancy/29663583?query=python, КРОК,"Участие в разработке новых проектов (frontend + backend) в команде. Разработка бизнес-логики, клиентского кода, отчётов. Проектирование баз данных. Знания в области веб-разработки и верстки (HTML5, CSS3, JS, jQuery). Знание Python и Django. Умение разбираться в..."
Инженер-тестировщик,https://samara.hh.ru/vacancy/27221058?query=python, ИнфоТеКС,Функциональное и нагрузочное тестирование. Знание техник тест-дизайна. Опыт работы с Linux. Опыт тестирования API. Опыт работы с Python. Опыт работы с системами электронного...
Старший DevOps инженер в Тинькофф Журнал,https://samara.hh.ru/vacancy/29865201?query=python, Тинькофф,"Провести аудит текущих процессов разработки и релизов. Выбрать инструменты и сформировать план на автоматизацию CI/CD. Выбрать облако и переехать... Уверенное знание Python, bash, умение работать с git (обязательно). Знание CI/CD процессов и методологий разработки, понимание того как эти..."
Старший ИТ-менеджер отдела управлением каналами связи,https://samara.hh.ru/vacancy/29888883?query=python," «РОСБАНК, Societe Generale Group», с опытом работы","Разработка скриптов (автоматизация) PHP/Python/Perl. Администрирование СУБД (PostgreSQL, MySQL, Oracle и др.). Сопровождение внутренней информационной системы банка Gbase.  Профессионыльные навыки: Разработка скриптов (автоматизация) PHP/Python/Perl. Управление СУБД (PostgreSQL, MySQL, Oracle и др.). RHEL v.5/6/7. "
