Название вакансии,URL,Название компании,Описание
Backend developer (Python),https://samara.hh.ru/vacancy/29727300?query=python, Дестени Продакшн, Опыт промышленной разработки на Python от 3-х лет. Мы используем Python 3.6. Знание принципов работы баз данных и...
Front-end разработчик со знаниями Python,https://samara.hh.ru/vacancy/29450456?query=python,ООО Аксилон Консалтинг,"Информационно-аналитическая платформа Cubix Business Modeler - система для создания комплексных финансово-экономических моделей и решений для повышения эффективности корпоративного управления.  Базовые знания Python. Javascript (хорошие знания, jQuery, AJAX). HTML (основы верстки). Понимание принципов ООП, умение их применять. MySQL (SELECT, INSERT..."
Программист (Python/C++),https://samara.hh.ru/vacancy/26680990?query=python, Группа компаний «Триумф»,"Разработка алгоритмов поведения ткани. Программирование прикладных систем для проектирования и визуализации одежды. Разработка компонентов для визуального построения чертежей.  Знание Python и C++. Знание основ компьютерной графики и математического моделирования. Умение разбираться в существующем коде. Английский, достаточный для чтения..."
Разработчик Python (Django),https://samara.hh.ru/vacancy/29898181?query=python,АО ФинТех,"Разработка серверного программного обеспечения на языке Python (средства защиты информации, средства мониторинга состояния технических и программных средств, управление конфигурациями центра... Опыт работы от 1 года. Уверенное знание Python 2.x, django. Владение ОС GNU/Linux на уровне пользователя. "
Python разработчик (Middle Backend Software Engineer),https://samara.hh.ru/vacancy/29735939?query=python,ООО PERX,Разработка новых проектов и поддержка существующих проектов компании: Облачная контентная система – кольцо дилерских сайтов. Платформа для автопроизводителей по учету автомобилей... Хорошее знание команд Linux. Опыт работы на Python от 2-х лет. Хорошее знание базовых библиотек. Опыт работы с одним...
Backend Server Node.js Python Developer,https://samara.hh.ru/vacancy/29830553?query=python,ООО АЙС,Развитие и поддержка активного проекта. Основные навыки: - Опыт работы с Google Cloud Platform. - AppEngine / Flask / Django. - MySQL. Плюсом будет: - Опыт работы с Kubernetes. - 
Преподаватель курса «Web-разработчик на Python»,https://samara.hh.ru/vacancy/29768083?query=python,ООО Отус,"У нас есть курс по методике преподавания, бесплатный для наших будущих учителей, на котором методисты помогут с составлением программы и... Личный PR. Опыт серверной разработки web-приложений на языке Python. Понимание основ фронтендной разработки и протоколов взаимодействия клиента и сервера. "
Python-разработчик в Трипстер,https://samara.hh.ru/vacancy/29816620?query=python, Трипстер,"Redis для сбора статистики. Nginx + uwsgi. Sentry для сбора ошибок. New Relic для мониторинга. Ищем сильного Python-разработчика с опытом работы над массовыми интернет-сервисами. Знание основных концепций веб-разработки (кэширование, сессии, очереди задач..."
Разработчик BI-систем Python/Go,https://samara.hh.ru/vacancy/29755589?query=python,ОАО 2RealLife,"Нужно обеспечивать стабильную работу существующих инструментов сбора, очистки и интеграции данных, аналитических хранилищ данных, других средств для глубокого анализа данных... Уметь работать с linux, bash и git. Python, Java (Spring, Hibernate, Netty), Golang. Kafka, Zookeeper, Etcd. PostgreSQL, HP Vertica, Clickhouse. "
Программист Python (mid-level),https://samara.hh.ru/vacancy/29259553?query=python,ООО Фаззи Лоджик Лабс,"Команда разработки банковских антифрод-решений ищет python-девелопера уровня middle для поддержки и разработки внутренних инструментов ETL, отчетности, аналитики и... Опыт от 2 лет с Python в качестве основного языка разработки. Знание базовых алгоритмов. Работа с базами данных, особенно Oracle..."
Backend Python/Django разработчик,https://samara.hh.ru/vacancy/28017216?query=python,ООО ЮК-Консалтинг,"Развивать систему обработки заказов. Программировать сложную бизнес-логику с большим количеством ветвлений. Внимание к деталям, способность видеть всю картинку, умение... Владеет Python и имеет опыт разработки на Python от двух лет. Работал с Django и/или любым другим фреймворком. "
Senior & middle python developer,https://samara.hh.ru/vacancy/29899526?query=python, Кадровый Центр Персонал Гарант,"ЧТО ДЕЛАТЬ: РАЗРАБОТКА подсистемы сбора и анализа данных, оптимизация производительности. - возможность развития и роста (использование Frontend и Backend технологий: Webpack... Уверенное владение Python 2/3. Знание математики и статистических методов обработки информации. Опыт работы с реляционными СУБД (PostgreSQL). "
Full stack разработчик (python/js),https://samara.hh.ru/vacancy/28604074?query=python, М.Видео. ИТ,"Обработки и визуализации данных на базе современных фрэймворков (в т.ч. sklearn, python-igraph, D3js и других).  Использование Cython. Опыт работы с данными в Python: numpy, pandas и т.д. Круто будет если Вы работали с Docker..."
Python-разработчик,https://samara.hh.ru/vacancy/27041899?query=python,ООО Иви.ру," Качественный опыт написания кода на python. Свободное владение linux (bash, sed, grep и другие утилиты). Знание классических алгоритмов и структур..."
Билд-инженер/Программист Python (Continuous Integration),https://samara.hh.ru/vacancy/29796678?query=python, Gaijin Entertainment,"оптимизация сборки. - выполнение сборки общих библиотек. - разработка программных модулей для автоматизации/оптимизации процессов сборки и анализа качества ПО. -  отличное знание языка Python, знание и навыки работы с GIT. - хорошее понимание процессов разработки ПО. - знание Windows и Linux. - "
Python разработчик,https://samara.hh.ru/vacancy/28655462?query=python, RU-CENTER Group,Основной проект – разработка и портирование системы управления VPS на базе OpenStack. Далее участие во всех проектах хостинга. Что нужно будет... Django REST framework.
Python разработчик (Data Science),https://samara.hh.ru/vacancy/27013968?query=python, М.Видео. ИТ,"Разработка и поддержка “умных” high load сервисов на основе алгоритмов машинного обучения (в частности, систем товарных рекомендаций для сайта).  Широкий опыт разработки на Python (2.x, 3.x) управление зависимостями (pip/easyinstall). Опыт разработки с помощью ORM фреймворков (например..."
"Full-stack разработчик (Python, Django)",https://samara.hh.ru/vacancy/29894945?query=python, Publicis Groupe,"Разработка внутреннего приложения на Django (+Django Template) и API (Django REST framework). Разработка DAGs в Airflow. Участие в процесе CI... Опыт работы с Python и технологиями Django ( + Django REST framework), Django ORM. Опыт работа с CI/DI (gitlab-ci..."
Ведущий разработчик Python Django,https://samara.hh.ru/vacancy/29575528?query=python,ООО Юником,"Создание Web-сервисов и микросервисов. Написание кода на python с применением Django, Django Rest Framework. Проектирование и реализация API для... Уверенное знание Web-технологий, стремление к расширению IT-кругозора. Уверенное знание Python, Django, REST Framework, опыт работы с ними. "
Senior Python Web Developer (Django/Flask),https://samara.hh.ru/vacancy/24990363?query=python, Ingram Micro,Writing Python 3 & 2 effective back-end code. Cooperating with the front-end developers in the process of developing API... Excellent Python knowledge – we use Python 3.6 and 2.7. Django/Flask framework experience. Asyncio and aiohttp experience. 
Python developer (Cloud Services),https://samara.hh.ru/vacancy/29630111?query=python, IVIDEON,"Вместе с нами будут разрабатывать бекенд Ivideon. Проектировать архитектуру новых сервисов. Автотестить написанное - сейчас код покрыт 800 функциональными тестами.  Опыт командной разработки. Желательно Python (писать нужно будет в основном на нём), но бэкграунд в Go/C++/Java тоже может..."
Ведущий программист Python,https://samara.hh.ru/vacancy/29043523?query=python, Связной,"Работа в команде из 5 python-программистов. Разработка внутренних информационных системы компании (проект - обработка данных и трансляция на витрины цен... Хорошие знания фреймворка Django, REST API, MySQL. Отличные знания Python 2, и 3 MYSQL. Хорошие знания ООП, в контексте классов..."
Python Developer,https://samara.hh.ru/vacancy/29277150?query=python, Островок.ру,"Backend личного кабинета для партнеров. Поддержка и развитие внешнего высоконагруженного API для партнеров. Технические задачи, связанные с мониторингом/аналитикой нашего... Уверенное владение python 3.x. Опыт в разработке на одном из фреймворков django/flask/tornado/aiohttp. Опыт в использовании и..."
Программист Python,https://samara.hh.ru/vacancy/26982181?query=python,ООО ФК ПУЛЬС,"Участие в проектах по разработке новых и доработке существующих программных модулей для учетных систем. Доработка прикладных решений по техническим заданиям.  Опыт работы с Python, Django + DRF или другим фреймворком, Celery и RabbitMQ/Redis. Опыт работы в Linux, командной строке. "
Разработчик Python (backend),https://samara.hh.ru/vacancy/29137967?query=python," X5 RETAIL GROUP, Центральный офис","Основной фронт работы: Разработка микросервисов на Python. Технический надзор за разработкой приложений на Python, выполняемой внешними подрядчиками. Проведение ревью кода.  Технологии: Python 3.6. Веб-фреймворки – синхронные (Django/Flask) и асинхронные (aiohttp)."
Senior Python developer,https://samara.hh.ru/vacancy/29730335?query=python, Lamoda,"Развитие и поддержка крупного e-commerce проекта, включая анализ поставленных задач, разработку функционала, внедрение и сопровождение решений. Обеспечение масштабируемости и... Опыт программирования от 3-x лет. Отличное знание Python. Опыт работы с MySQL / PostgreSQL. Опыт работы с Git. "
Разработчик Python,https://samara.hh.ru/vacancy/29530188?query=python,ООО Сбербанк-Телеком,Разработка ПО телекоммуникационных платформ. Разработка нового функционала серверных платформ. Участие в проектировании архитектуры и интеграций. Рефакторинг и оптимизация существующего кода.  Опыт работы от 2 лет. Опыт разработки python приложений. Уверенное знание python3. Опыт работы с sqlalchemy (с чем-нибудь...
Data Engineer (Python/ Big data),https://samara.hh.ru/vacancy/26615410?query=python, RU-CENTER Group,"Cобственное BI решение для аналитики и публикации отчетов. Основной язык разработки - Python. Создание инфраструктуры для валидации данных. Оптимизация и апгрейд... Хорошее знание Python. Знание стека технологий Hadoop (HDFS, Yarn). Опыт администрирования и разработки для продуктов Apache Spark. Опыт работы с..."
Middle or Senior Python-разработчик с навыками анализа данных,https://samara.hh.ru/vacancy/29339786?query=python,ООО Поток.Диджитал,"Разработка обновленной системы взаимодействия скоринга с имеющимся окружением. Продукта (с возможным привлечением асинхронного программирования). Оптимизация взаимодействия с хранилищем данных (PostgreSQL).  Отличное знание Python (3). Хорошее знание основных библиотек для анализа данных (pandas, numpy). Умение писать качественный продакшн код. "
Python разработчик (Deep learning),https://samara.hh.ru/vacancy/29936902?query=python, ANCOR FinTech,"Интеллектуальное видеонаблюдение для систем безопасности, торговых и развлекательных объектов. Разработка решений для интеллектуальных транспортных систем. Разработка систем помощи водителю (ADAS).  Опыт разработки на Python от 3х лет. Хорошее знание основ математики (в пределах ВУЗа), научная деятельность приветствуется (аспирантура). "
JavaScript / Python Developer (Django),https://samara.hh.ru/vacancy/29829374?query=python, Competentum,"Наша многолетняя экспертиза позволяет нам создавать современные решения для всего спектра образовательных услуг, включая нативные и веб-приложения, высоконагруженные LMS... Опыт Front-End разработки от 1 года с использованием фреймворков (React, Angular или Vue). Знание технологий: Python / Django (Flask тоже..."
Программист Python/C++,https://samara.hh.ru/vacancy/29890861?query=python, Открытые Технологии,Разработка приложений для обработки и передачи данных. Разработка stand-alone приложений на основе требований Заказчика. Разработка различных интеграционных решений.. Высшее математическое или техническое образование. Уверенное знание Python || C++ || C#. Знание специфики разработки многопоточных приложений. Уверенное знание SQL.
Ведущий разработчик Python на платежную платформу,https://samara.hh.ru/vacancy/29636848?query=python,ИП Новикова Ольга Станиславовна,"Принятие на поддержку существующего финтех проекта, дальнейшее его развитие (интеграции, доп.функционал и тд). Опыт разработки и поддержки крупных коммерческих проектов, реализованых на Python (Django) от 3х лет. Знание тонких мест реализации фреймворка..."
Python разработчик,https://samara.hh.ru/vacancy/28891693?query=python,ООО КЕЛЛИ СЕРВИСЕЗ ИТ РЕШЕНИЯ,"Разработка и поддержка “умных” high load сервисов на основе алгоритмов машинного обучения (в частности, систем товарных рекомендаций для сайта).  Широкий опыт разработки на Python (2.x, 3.x) управление зависимостями (pip/easyinstall). Опыт разработки с помощью ORM фреймворков (например..."
